dt;Act, sec-1;Q, Mev;dAct, sec-1;dQ, Mev;
u235;
dt;Act, sec-1;Q, Mev;dAct, sec-1;dQ, Mev;
u235;
0.1;4.80338e+15;1.85452e+16;1.40574e+14;5.32352e+14;
0.2;5.12429e+15;1.97197e+16;1.50363e+14;5.6691e+14;
0.3;5.43404e+15;2.08474e+16;1.59851e+14;6.00173e+14;
0.4;5.73345e+15;2.19322e+16;1.69057e+14;6.32248e+14;
0.5;6.02325e+15;2.29772e+16;1.78002e+14;6.63229e+14;
0.6;6.30408e+15;2.39854e+16;1.86703e+14;6.93196e+14;
0.7;6.57652e+15;2.49592e+16;1.95173e+14;7.22221e+14;
0.8;6.84109e+15;2.59011e+16;2.03427e+14;7.50366e+14;
0.9;7.09826e+15;2.6813e+16;2.11477e+14;7.77688e+14;
1;7.34845e+15;2.76969e+16;2.19332e+14;8.04236e+14;
dt;Act, sec-1;Q, Mev;dAct, sec-1;dQ, Mev;
os16;
dt;Act, sec-1;Q, Mev;dAct, sec-1;dQ, Mev;
os16;
5.11488e+07;1.31841e+14;2.19058e+14;1.71959e+12;4.45731e+12;
dt;Act, sec-1;Q, Mev;dAct, sec-1;dQ, Mev;
os16;
5.11488e+07;1.31841e+14;2.19058e+14;1.71959e+12;4.45731e+12;
